file,gps_week,gps_tow_s,constellation,prn,elevation_deg,azimuth_deg,snr_dbhz,has_signal
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,GPS,13,27.0,136.0,28.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,GPS,15,0.0,0.0,29.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,GPS,18,47.0,215.0,33.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,GPS,20,0.0,0.0,28.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,GPS,24,66.0,46.0,37.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,GPS,32,0.0,0.0,31.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,GLONASS,68,20.0,67.0,36.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,GLONASS,69,45.0,14.0,32.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,GLONASS,70,28.0,311.0,33.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,GLONASS,79,47.0,95.0,32.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,GLONASS,80,25.0,160.0,35.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,GLONASS,84,37.0,241.0,29.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,GLONASS,85,0.0,0.0,31.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,Galileo,2,0.0,0.0,31.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,Galileo,13,0.0,0.0,31.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,Galileo,26,61.0,272.0,35.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,Galileo,29,33.0,270.0,30.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,QZSS,3,43.0,168.0,31.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,QZSS,7,53.0,169.0,30.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,BDS,1,48.0,147.0,43.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,BDS,2,0.0,0.0,29.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,BDS,3,0.0,0.0,31.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,BDS,4,37.0,120.0,39.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,BDS,6,69.0,38.0,35.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,BDS,7,58.0,188.0,32.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,BDS,10,48.0,189.0,29.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,BDS,11,0.0,0.0,24.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,BDS,20,58.0,27.0,37.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,BDS,29,21.0,231.0,29.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,BDS,32,0.0,0.0,22.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,BDS,35,17.0,286.0,29.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,BDS,37,46.0,78.0,30.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443090.000,GPS,13,27.0,136.0,31.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443090.000,GPS,15,0.0,0.0,30.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443090.000,GPS,18,47.0,215.0,35.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443090.000,GPS,20,0.0,0.0,30.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443090.000,GPS,24,66.0,46.0,39.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443090.000,GPS,32,0.0,0.0,32.0,是
0703002-0918-11-09-gnss_raw.txt,2436,443090.000,GLONASS,68,20.0,67.0,37.0,是
