file,gps_week,gps_tow_s,time_status,sol_status,pos_type,tracked,used,horizontal_sigma_m,vertical_sigma_m,diff_age_s,station_id
0703002-0918-11-09-gnss_raw.txt,2436,443088.800,FINESTEERING,SOL_COMPUTED,SINGLE,31,18,3.1997,6.6515,1.8,1793
0703002-0918-11-09-gnss_raw.txt,2436,443088.900,FINESTEERING,SOL_COMPUTED,SINGLE,31,18,3.17,6.5857,1.9,1793
0703002-0918-11-09-gnss_raw.txt,2436,443089.000,FINESTEERING,SOL_COMPUTED,SINGLE,32,18,3.1123,6.4615,1.0,1793
0703002-0918-11-09-gnss_raw.txt,2436,443089.100,FINESTEERING,SOL_COMPUTED,SINGLE,32,18,3.0924,6.4169,1.1,1793
0703002-0918-11-09-gnss_raw.txt,2436,443089.200,FINESTEERING,SOL_COMPUTED,SINGLE,32,18,3.0409,6.316,1.2,1793
0703002-0918-11-09-gnss_raw.txt,2436,443089.300,FINESTEERING,SOL_COMPUTED,SINGLE,32,18,2.934,6.0903,1.3,1793
0703002-0918-11-09-gnss_raw.txt,2436,443089.400,FINESTEERING,SOL_COMPUTED,SINGLE,32,19,3.0448,6.3189,1.4,1793
0703002-0918-11-09-gnss_raw.txt,2436,443089.500,FINESTEERING,SOL_COMPUTED,SINGLE,32,19,3.021,6.2678,1.5,1793
0703002-0918-11-09-gnss_raw.txt,2436,443089.600,FINESTEERING,SOL_COMPUTED,SINGLE,32,18,2.928,6.0822,1.6,1793
0703002-0918-11-09-gnss_raw.txt,2436,443089.700,FINESTEERING,SOL_COMPUTED,SINGLE,32,19,2.8962,6.0222,1.7,1793
0703002-0918-11-09-gnss_raw.txt,2436,443089.800,FINESTEERING,SOL_COMPUTED,SINGLE,32,19,2.9517,6.1416,0.8,1793
0703002-0918-11-09-gnss_raw.txt,2436,443089.900,FINESTEERING,SOL_COMPUTED,SINGLE,32,19,3.0374,6.3185,0.9,1793
0703002-0918-11-09-gnss_raw.txt,2436,443090.000,FINESTEERING,SOL_COMPUTED,SINGLE,32,19,2.8744,5.9782,1.0,1793
0703002-0918-11-09-gnss_raw.txt,2436,443090.100,FINESTEERING,SOL_COMPUTED,SINGLE,32,19,3.0233,6.2863,1.1,1793
0703002-0918-11-09-gnss_raw.txt,2436,443090.200,FINESTEERING,SOL_COMPUTED,SINGLE,32,19,2.9602,6.1533,1.2,1793
0703002-0918-11-09-gnss_raw.txt,2436,443090.300,FINESTEERING,SOL_COMPUTED,SINGLE,32,19,2.9901,6.2227,1.3,1793
0703002-0918-11-09-gnss_raw.txt,2436,443090.400,FINESTEERING,SOL_COMPUTED,SINGLE,32,19,3.1601,6.5739,1.4,1793
0703002-0918-11-09-gnss_raw.txt,2436,443090.500,FINESTEERING,SOL_COMPUTED,SINGLE,32,19,3.0278,6.2985,1.5,1793
0703002-0918-11-09-gnss_raw.txt,2436,443090.600,FINESTEERING,SOL_COMPUTED,SINGLE,32,18,2.9061,6.0406,1.6,1793
0703002-0918-11-09-gnss_raw.txt,2436,443090.700,FINESTEERING,SOL_COMPUTED,SINGLE,32,19,2.9474,6.1226,1.7,1793
0703002-0918-11-09-gnss_raw.txt,2436,443090.800,FINESTEERING,SOL_COMPUTED,SINGLE,32,19,2.8571,5.9327,0.8,1793
