file,gps_week,gps_tow_s,time_status,sol_status,pos_type,tracked,used,horizontal_sigma_m,vertical_sigma_m,diff_age_s,station_id
0703002-0918-15-42-gnss_raw.txt,2436,459453.200,FINESTEERING,SOL_COMPUTED,SINGLE,26,15,2.4968,4.5956,1.2,1793
0703002-0918-15-42-gnss_raw.txt,2436,459453.300,FINESTEERING,SOL_COMPUTED,SINGLE,26,14,2.4419,4.5089,1.3,1793
0703002-0918-15-42-gnss_raw.txt,2436,459453.400,FINESTEERING,SOL_COMPUTED,SINGLE,26,14,2.4528,4.543,1.4,1793
0703002-0918-15-42-gnss_raw.txt,2436,459453.500,FINESTEERING,SOL_COMPUTED,SINGLE,26,14,2.4271,4.5094,1.5,1793
0703002-0918-15-42-gnss_raw.txt,2436,459453.600,FINESTEERING,SOL_COMPUTED,SINGLE,26,14,2.4265,4.5224,1.6,1793
0703002-0918-15-42-gnss_raw.txt,2436,459453.700,FINESTEERING,SOL_COMPUTED,SINGLE,26,13,2.3593,4.4104,1.7,1793
0703002-0918-15-42-gnss_raw.txt,2436,459453.800,FINESTEERING,SOL_COMPUTED,SINGLE,26,12,2.3271,4.3632,1.8,1793
0703002-0918-15-42-gnss_raw.txt,2436,459453.900,FINESTEERING,SOL_COMPUTED,SINGLE,26,13,2.3842,4.4832,1.9,1793
0703002-0918-15-42-gnss_raw.txt,2436,459454.000,FINESTEERING,SOL_COMPUTED,SINGLE,26,14,2.519,4.7566,1.0,1793
0703002-0918-15-42-gnss_raw.txt,2436,459454.100,FINESTEERING,SOL_COMPUTED,SINGLE,26,17,2.5021,4.7407,1.1,1793
0703002-0918-15-42-gnss_raw.txt,2436,459454.200,FINESTEERING,SOL_COMPUTED,SINGLE,26,16,2.6032,4.9499,1.2,1793
0703002-0918-15-42-gnss_raw.txt,2436,459454.300,FINESTEERING,SOL_COMPUTED,SINGLE,26,15,2.6606,5.073,1.3,1793
0703002-0918-15-42-gnss_raw.txt,2436,459454.400,FINESTEERING,SOL_COMPUTED,SINGLE,26,16,2.5037,4.7873,1.4,1793
0703002-0918-15-42-gnss_raw.txt,2436,459454.500,FINESTEERING,SOL_COMPUTED,SINGLE,26,14,2.6132,5.0084,1.5,1793
0703002-0918-15-42-gnss_raw.txt,2436,459454.600,FINESTEERING,SOL_COMPUTED,SINGLE,26,11,2.6818,5.1444,1.6,1793
0703002-0918-15-42-gnss_raw.txt,2436,459454.700,FINESTEERING,SOL_COMPUTED,SINGLE,26,12,2.7915,5.3506,1.7,1793
0703002-0918-15-42-gnss_raw.txt,2436,459454.800,FINESTEERING,SOL_COMPUTED,SINGLE,25,10,2.7447,5.2656,1.8,1793
0703002-0918-15-42-gnss_raw.txt,2436,459454.900,FINESTEERING,SOL_COMPUTED,SINGLE,25,12,2.6665,5.1238,1.9,1793
0703002-0918-15-42-gnss_raw.txt,2436,459455.000,FINESTEERING,SOL_COMPUTED,SINGLE,25,11,2.6458,5.0915,1.0,1793
0703002-0918-15-42-gnss_raw.txt,2436,459455.100,FINESTEERING,SOL_COMPUTED,SINGLE,25,11,2.5312,4.8766,1.1,1793
0703002-0918-15-42-gnss_raw.txt,2436,459455.200,FINESTEERING,SOL_COMPUTED,SINGLE,25,12,2.6747,5.1561,1.2,1793
0703002-0918-15-42-gnss_raw.txt,2436,459455.300,FINESTEERING,SOL_COMPUTED,SINGLE,26,10,2.6593,5.1254,1.3,1793
0703002-0918-15-42-gnss_raw.txt,2436,459455.400,FINESTEERING,SOL_COMPUTED,SINGLE,26,9,2.6632,5.1307,1.4,1793
0703002-0918-15-42-gnss_raw.txt,2436,459455.500,FINESTEERING,SOL_COMPUTED,SINGLE,26,9,2.6517,5.1053,1.5,1793
0703002-0918-15-42-gnss_raw.txt,2436,459455.600,FINESTEERING,SOL_COMPUTED,SINGLE,25,9,2.7163,5.2289,1.6,1793
0703002-0918-15-42-gnss_raw.txt,2436,459455.700,FINESTEERING,SOL_COMPUTED,SINGLE,25,11,2.6048,5.0133,1.7,1793
