file,gps_week,gps_tow_s,constellation,prn,elevation_deg,azimuth_deg,snr_dbhz,has_signal
gnss_raw.txt,2437,379927.000,GPS,16,75.0,278.0,39.0,是
gnss_raw.txt,2437,379927.000,GPS,26,63.0,43.0,24.0,是
gnss_raw.txt,2437,379927.000,GPS,27,0.0,0.0,29.0,是
gnss_raw.txt,2437,379927.000,GPS,28,25.0,104.0,27.0,是
gnss_raw.txt,2437,379927.000,GPS,31,51.0,90.0,42.0,是
gnss_raw.txt,2437,379927.000,GLONASS,70,30.0,194.0,31.0,是
gnss_raw.txt,2437,379927.000,GLONASS,71,55.0,281.0,38.0,是
gnss_raw.txt,2437,379927.000,Galileo,4,34.0,155.0,42.0,是
gnss_raw.txt,2437,379927.000,Galileo,6,59.0,170.0,36.0,是
gnss_raw.txt,2437,379927.000,Galileo,9,76.0,236.0,45.0,是
gnss_raw.txt,2437,379927.000,Galileo,14,0.0,0.0,40.0,是
gnss_raw.txt,2437,379927.000,Galileo,31,79.0,27.0,35.0,是
gnss_raw.txt,2437,379927.000,QZSS,2,65.0,112.0,41.0,是
gnss_raw.txt,2437,379927.000,QZSS,7,43.0,164.0,29.0,是
gnss_raw.txt,2437,379927.000,BDS,1,37.0,146.0,40.0,是
gnss_raw.txt,2437,379927.000,BDS,3,43.0,189.0,29.0,是
gnss_raw.txt,2437,379927.000,BDS,4,0.0,0.0,32.0,是
gnss_raw.txt,2437,379927.000,BDS,8,30.0,169.0,41.0,是
gnss_raw.txt,2437,379927.000,BDS,14,20.0,194.0,34.0,是
gnss_raw.txt,2437,379927.000,BDS,24,54.0,292.0,31.0,是
gnss_raw.txt,2437,379927.000,BDS,26,0.0,0.0,23.0,是
gnss_raw.txt,2437,379927.000,BDS,33,38.0,287.0,34.0,是
gnss_raw.txt,2437,379927.000,BDS,35,32.0,96.0,33.0,是
gnss_raw.txt,2437,379927.000,BDS,42,35.0,215.0,33.0,是
gnss_raw.txt,2437,379928.000,GPS,16,75.0,278.0,39.0,是
gnss_raw.txt,2437,379928.000,GPS,26,63.0,43.0,24.0,是
gnss_raw.txt,2437,379928.000,GPS,27,0.0,0.0,29.0,是
gnss_raw.txt,2437,379928.000,GPS,28,25.0,104.0,27.0,是
gnss_raw.txt,2437,379928.000,GPS,31,51.0,90.0,42.0,是
gnss_raw.txt,2437,379928.000,GLONASS,70,30.0,194.0,31.0,是
gnss_raw.txt,2437,379928.000,GLONASS,71,55.0,281.0,38.0,是
gnss_raw.txt,2437,379928.000,Galileo,4,34.0,155.0,42.0,是
gnss_raw.txt,2437,379928.000,Galileo,6,59.0,170.0,36.0,是
gnss_raw.txt,2437,379928.000,Galileo,9,76.0,236.0,46.0,是
gnss_raw.txt,2437,379928.000,Galileo,14,0.0,0.0,40.0,是
gnss_raw.txt,2437,379928.000,Galileo,31,79.0,27.0,34.0,是
gnss_raw.txt,2437,379928.000,QZSS,2,65.0,112.0,41.0,是
gnss_raw.txt,2437,379928.000,QZSS,7,43.0,164.0,29.0,是
gnss_raw.txt,2437,379928.000,BDS,1,37.0,146.0,40.0,是
gnss_raw.txt,2437,379928.000,BDS,3,43.0,189.0,30.0,是
gnss_raw.txt,2437,379928.000,BDS,4,25.0,125.0,32.0,是
gnss_raw.txt,2437,379928.000,BDS,8,30.0,169.0,41.0,是
gnss_raw.txt,2437,379928.000,BDS,14,20.0,194.0,34.0,是
gnss_raw.txt,2437,379928.000,BDS,24,54.0,292.0,31.0,是
gnss_raw.txt,2437,379928.000,BDS,26,0.0,0.0,22.0,是
gnss_raw.txt,2437,379928.000,BDS,33,38.0,287.0,34.0,是
gnss_raw.txt,2437,379928.000,BDS,35,32.0,96.0,33.0,是
gnss_raw.txt,2437,379928.000,BDS,42,35.0,215.0,33.0,是
gnss_raw.txt,2437,379929.000,GPS,16,75.0,278.0,39.0,是
gnss_raw.txt,2437,379929.000,GPS,26,63.0,43.0,25.0,是
gnss_raw.txt,2437,379929.000,GPS,27,37.0,178.0,30.0,是
gnss_raw.txt,2437,379929.000,GPS,28,25.0,104.0,27.0,是
gnss_raw.txt,2437,379929.000,GPS,31,51.0,90.0,42.0,是
gnss_raw.txt,2437,379929.000,GLONASS,70,30.0,194.0,31.0,是
gnss_raw.txt,2437,379929.000,GLONASS,71,55.0,281.0,38.0,是
gnss_raw.txt,2437,379929.000,Galileo,4,34.0,155.0,42.0,是
gnss_raw.txt,2437,379929.000,Galileo,6,59.0,170.0,35.0,是
gnss_raw.txt,2437,379929.000,Galileo,9,76.0,236.0,46.0,是
gnss_raw.txt,2437,379929.000,Galileo,14,0.0,0.0,40.0,是
gnss_raw.txt,2437,379929.000,Galileo,31,79.0,27.0,33.0,是
gnss_raw.txt,2437,379929.000,QZSS,2,65.0,112.0,41.0,是
gnss_raw.txt,2437,379929.000,QZSS,7,43.0,164.0,29.0,是
gnss_raw.txt,2437,379929.000,BDS,1,37.0,146.0,40.0,是
gnss_raw.txt,2437,379929.000,BDS,3,43.0,189.0,29.0,是
gnss_raw.txt,2437,379929.000,BDS,4,0.0,0.0,30.0,是
gnss_raw.txt,2437,379929.000,BDS,8,30.0,169.0,41.0,是
gnss_raw.txt,2437,379929.000,BDS,14,20.0,194.0,33.0,是
gnss_raw.txt,2437,379929.000,BDS,24,54.0,292.0,31.0,是
gnss_raw.txt,2437,379929.000,BDS,26,63.0,44.0,22.0,是
gnss_raw.txt,2437,379929.000,BDS,33,38.0,287.0,34.0,是
gnss_raw.txt,2437,379929.000,BDS,35,32.0,96.0,33.0,是
gnss_raw.txt,2437,379929.000,BDS,42,35.0,215.0,33.0,是
gnss_raw.txt,2437,379930.000,GPS,16,75.0,278.0,39.0,是
gnss_raw.txt,2437,379930.000,GPS,26,63.0,43.0,26.0,是
gnss_raw.txt,2437,379930.000,GPS,27,0.0,0.0,30.0,是
gnss_raw.txt,2437,379930.000,GPS,28,25.0,104.0,28.0,是
gnss_raw.txt,2437,379930.000,GPS,31,51.0,90.0,42.0,是
gnss_raw.txt,2437,379930.000,GLONASS,70,30.0,194.0,32.0,是
gnss_raw.txt,2437,379930.000,GLONASS,71,55.0,281.0,38.0,是
gnss_raw.txt,2437,379930.000,Galileo,4,34.0,155.0,42.0,是
gnss_raw.txt,2437,379930.000,Galileo,6,59.0,170.0,35.0,是
gnss_raw.txt,2437,379930.000,Galileo,9,76.0,236.0,46.0,是
gnss_raw.txt,2437,379930.000,Galileo,14,0.0,0.0,40.0,是
gnss_raw.txt,2437,379930.000,Galileo,31,79.0,27.0,33.0,是
gnss_raw.txt,2437,379930.000,QZSS,2,65.0,112.0,41.0,是
gnss_raw.txt,2437,379930.000,QZSS,7,43.0,164.0,28.0,是
gnss_raw.txt,2437,379930.000,BDS,1,37.0,146.0,40.0,是
gnss_raw.txt,2437,379930.000,BDS,3,43.0,189.0,30.0,是
gnss_raw.txt,2437,379930.000,BDS,4,25.0,125.0,31.0,是
gnss_raw.txt,2437,379930.000,BDS,8,30.0,169.0,42.0,是
